thesis,target,top_k,bottom_k,market_neutral,rebalance_every,sizing_mode,paper_sharpe,paper_ann,paper_dd,retail_sharpe,retail_ann,retail_dd,retail_calmar,n_orders,end_equity,elapsed_s
C064_xs8_k15_conf,y_xsec_top_8,15,0,False,8,confidence,1.2814135162159157,0.3212557014007496,-0.2423298321832681,1.0078366675844712,0.2530131573099542,-0.24739448006622788,1.0227114090913516,6406,146533.91217229547,4.354939540964551
A046_xs8_k20_long_reb4,y_xsec_top_8,20,0,False,4,equal,1.2855977056657175,0.29434750513872476,-0.27103266580337015,0.9949579117075511,0.22789535950274925,-0.27724835740321085,0.8219899358008242,9186,141587.95535684918,4.575542582955677
C063_xs8_k10_conf,y_xsec_top_8,10,0,False,8,confidence,1.2642391646797484,0.32932817104649287,-0.24521033165013884,0.9754743026852685,0.25452189244986795,-0.26885907636771567,0.9466739821041456,4624,146296.1885484599,4.365222167049069
A043_xs8_k15_long_reb4,y_xsec_top_8,15,0,False,4,equal,1.1548105015678445,0.2719585244450793,-0.2759924614578554,0.7947723630524304,0.18730219891176042,-0.28354694002917236,0.6605685777899423,8343,131645.0741440546,4.707841916999314
A040_xs8_k10_long_reb4,y_xsec_top_8,10,0,False,4,equal,1.1143380037033275,0.2821436016854273,-0.2689182196698655,0.6929691266237776,0.17556184063114572,-0.2853292770721447,0.6152955716028937,6647,128037.32105975754,4.660097334010061
A035_xs4_k20_long_reb4,y_xsec_top_4,20,0,False,4,equal,1.0134524690135887,0.22979329663861361,-0.2618262658683067,0.6612291820994738,0.15007900805482113,-0.2721490153243764,0.5514589419915441,10118,123864.10607618385,4.536726040998474
A029_xs4_k10_long_reb4,y_xsec_top_4,10,0,False,4,equal,1.1655116077395575,0.2927004843425847,-0.25692905324139703,0.654586772384975,0.16473065543479426,-0.27271696899330833,0.604035223927838,7348,125761.9462277393,4.452255707990844
C061_xs4_k10_conf,y_xsec_top_4,10,0,False,4,confidence,1.1734820246301727,0.29419443541874507,-0.23952079493941203,0.6484472956548355,0.1628833814923818,-0.26356620279219656,0.6179979821646704,8328,125397.43961532427,4.671012916020118
A038_xs8_k5_long_reb8,y_xsec_top_8,5,0,False,8,equal,0.890223570023922,0.19494128146585563,-0.23976087032188775,0.5912576871215669,0.1296608189392482,-0.25809766054406924,0.5023711515475324,2392,119950.65620238967,4.530408792023081
C062_xs4_k15_conf,y_xsec_top_4,15,0,False,4,confidence,1.0580952706917357,0.25818923367720464,-0.24862788861505958,0.5689049102977223,0.13906042386075737,-0.2627053107480073,0.5293399797088502,11577,120673.96163343196,4.670812750002369
A032_xs4_k15_long_reb4,y_xsec_top_4,15,0,False,4,equal,0.9690811492639905,0.2311386645340664,-0.25926952122597857,0.5511665699500874,0.13163247839848044,-0.2717420587798248,0.4844023004371723,9099,119409.0432754533,4.553248042007908
A034_xs4_k20_long_reb2,y_xsec_top_4,20,0,False,2,equal,0.9465096905707532,0.21805692281792594,-0.2499855412457599,0.4366767760549566,0.10077819496375365,-0.2661183770481974,0.378696864461568,13916,113581.59274168979,4.761863458028529
A037_xs8_k5_long_reb4,y_xsec_top_8,5,0,False,4,equal,0.856305216358577,0.1905171944916754,-0.18138098244611478,0.4014845861406298,0.08938584632312853,-0.21545125193699155,0.4148773586577687,3888,111742.69016434952,4.728504624974448
A031_xs4_k15_long_reb2,y_xsec_top_4,15,0,False,2,equal,0.9832218591651289,0.23722251173160774,-0.2338500104519281,0.36228901551940046,0.08760054523608826,-0.2558368642102914,0.3424078289361882,12939,110531.27724923917,4.819769624969922
A026_xs4_k5_long_reb4,y_xsec_top_4,5,0,False,4,equal,0.8955157931509279,0.19196037518557235,-0.23227906152271094,0.33018531531503664,0.07093820124315936,-0.26569927741969024,0.26698680527876484,4263,108577.35098174203,4.685407500015572
A028_xs4_k10_long_reb2,y_xsec_top_4,10,0,False,2,equal,1.0473738996104172,0.26699569904976084,-0.23048620823185728,0.29141683426208503,0.07447662576442737,-0.28349433301811744,0.2627093987083959,10877,107422.22926223352,4.755607875005808
A025_xs4_k5_long_reb2,y_xsec_top_4,5,0,False,2,equal,1.0795980638817522,0.23054297953649236,-0.19420724484466956,0.2170062341068194,0.04646333926713483,-0.25853023051039803,0.1797211071811816,6531,104099.61241726384,5.021458374976646
A024_xs2_k20_long_reb4,y_xsec_top_2,20,0,False,4,equal,0.2415427812728222,0.05273658720183153,-0.33608041531944066,-0.2667075178502481,-0.05831640270141162,-0.3701534268180806,-0.15754656981758106,11794,86669.43214312357,4.573982333007734
A023_xs2_k20_long_reb2,y_xsec_top_2,20,0,False,2,equal,0.48395425855238805,0.10558988178516003,-0.27370064768597313,-0.2984113836942852,-0.06527111257417414,-0.31205982800172616,-0.20916217570245246,17477,85643.91002172252,4.884029417007696
A021_xs2_k15_long_reb4,y_xsec_top_2,15,0,False,4,equal,0.20061460452943602,0.044789247657007494,-0.33689308753380587,-0.4028270556207239,-0.0900787434022053,-0.3779240648971125,-0.23835143556346083,10436,81884.85462089289,4.562580792000517
A022_xs2_k20_long_reb1,y_xsec_top_2,20,0,False,1,equal,0.6046007405251655,0.13228981402651727,-0.2832916159396822,-0.5035546236460106,-0.11025435627825517,-0.3439843780199773,-0.32052140539897434,23683,79228.182852613,5.350764292001259
B060_xs8_mn15_reb8,y_xsec_top_8,15,15,True,8,equal,-0.1566111115471756,-0.016013950307383867,-0.1257006801452708,-0.6700795553878355,-0.06873603014119216,-0.145497363891392,-0.4724211374200626,8368,87959.91433168265,4.312365041987505
A012_xs1_k20_long_reb2,y_xsec_top_1,20,0,False,2,equal,0.26233651559994037,0.05443634039105163,-0.3248410861677884,-0.6922119344593265,-0.14405670932081419,-0.3853448358537671,-0.3738384322749343,19455,75031.29749663283,5.076271041005384
A009_xs1_k15_long_reb2,y_xsec_top_1,15,0,False,2,equal,0.4000717213019367,0.08580671965400412,-0.34313240083908736,-0.7454718298172113,-0.16051370094214856,-0.41788159977524264,-0.3841128707951744,17758,72738.0696553831,5.230037084023934
B059_xs8_mn10_reb8,y_xsec_top_8,10,10,True,8,equal,-0.2669305833629448,-0.03372076961581469,-0.18606865320374122,-0.7803511877773639,-0.09894805608363808,-0.20871228347457893,-0.47408832118733396,7350,83067.53149538838,4.258739459037315
A020_xs2_k15_long_reb2,y_xsec_top_2,15,0,False,2,equal,0.1373022713839122,0.030670689038172393,-0.28149321523519244,-0.7958114436124567,-0.17836628878240007,-0.3976852597900735,-0.4485111891664138,15550,70286.11743968984,4.874065625015646
